# SOURCE: Synthetic data generated for Community Agri-PV model
# DATE: 2026-02-06
# DESCRIPTION: Monthly wholesale cucumber prices (USD/kg) for Egypt/MENA region
# UNITS: usd_per_kg (wholesale), usd_per_kg_farmgate (estimated farmgate)
# LOGIC: Sinusoidal seasonality (low prices at harvest) + AR(1) persistence + random shocks
# DEPENDENCIES: None
# ASSUMPTIONS: Harvest months [4, 5, 6, 7, 8, 9], price range $0.60-$1.40/kg
# FARMGATE_RATIO: 0.45 (farmgate = wholesale * 0.45, typical Egyptian fresh produce)
# GENERATION_METHOD: Synthetic with realistic seasonal and market dynamics
# CURRENCY: All prices in USD; reference FAO/USDA global commodity prices
date,usd_per_kg,season,market_condition,usd_per_kg_farmgate
2019-04-01,1.0091,spring,low,0.4541
2019-05-01,0.9055,spring,low,0.4075
2019-06-01,0.8361,summer,low,0.3762
2019-07-01,0.9245,summer,low,0.416
2019-08-01,1.0708,summer,medium,0.4819
2019-09-01,0.9255,fall,low,0.4165
2019-10-01,1.0553,fall,medium,0.4749
2019-11-01,1.1269,fall,medium,0.5071
2019-12-01,1.2618,winter,high,0.5678
2020-01-01,1.3179,winter,high,0.5931
2020-02-01,1.0452,winter,low,0.4703
2020-03-01,1.1769,spring,high,0.5296
2020-04-01,0.8991,spring,low,0.4046
2020-05-01,0.9495,spring,low,0.4273
2020-06-01,1.1354,summer,high,0.5109
2020-07-01,1.1862,summer,high,0.5338
2020-08-01,1.1409,summer,high,0.5134
2020-09-01,1.296,fall,high,0.5832
2020-10-01,1.2024,fall,high,0.5411
2020-11-01,1.2057,fall,high,0.5426
2020-12-01,1.3216,winter,high,0.5947
2021-01-01,1.194,winter,high,0.5373
2021-02-01,1.1554,winter,high,0.5199
2021-03-01,1.1085,spring,medium,0.4988
2021-04-01,0.9923,spring,low,0.4465
2021-05-01,1.1034,spring,medium,0.4965
2021-06-01,1.051,summer,low,0.4729
2021-07-01,1.1409,summer,high,0.5134
2021-08-01,1.0163,summer,low,0.4573
2021-09-01,0.8915,fall,low,0.4012
2021-10-01,0.9314,fall,low,0.4191
2021-11-01,1.0728,fall,medium,0.4828
2021-12-01,1.1983,winter,high,0.5392
2022-01-01,1.1743,winter,high,0.5284
2022-02-01,1.1823,winter,high,0.532
2022-03-01,1.302,spring,high,0.5859
2022-04-01,1.0694,spring,medium,0.4812
2022-05-01,1.0901,spring,medium,0.4905
2022-06-01,0.9243,summer,low,0.4159
2022-07-01,1.0093,summer,low,0.4542
2022-08-01,1.127,summer,medium,0.5071
2022-09-01,1.0089,fall,low,0.454
2022-10-01,1.1231,fall,medium,0.5054
2022-11-01,1.2053,fall,high,0.5424
2022-12-01,1.1167,winter,medium,0.5025
2023-01-01,1.1653,winter,high,0.5244
2023-02-01,1.2664,winter,high,0.5699
2023-03-01,0.9524,spring,low,0.4286
2023-04-01,0.9555,spring,low,0.43
2023-05-01,0.985,spring,low,0.4432
2023-06-01,1.0908,summer,medium,0.4909
2023-07-01,1.115,summer,medium,0.5018
2023-08-01,0.9944,summer,low,0.4475
2023-09-01,1.1089,fall,medium,0.499
2023-10-01,1.0252,fall,low,0.4613
2023-11-01,1.0528,fall,medium,0.4738
2023-12-01,0.959,winter,low,0.4315
2024-01-01,1.0805,winter,medium,0.4862
2024-02-01,1.2048,winter,high,0.5422
2024-03-01,1.3082,spring,high,0.5887
2024-04-01,1.0787,spring,medium,0.4854
2024-05-01,1.0825,spring,medium,0.4871
2024-06-01,1.0718,summer,medium,0.4823
2024-07-01,1.0724,summer,medium,0.4826
2024-08-01,1.0908,summer,medium,0.4909
2024-09-01,0.9434,fall,low,0.4245
2024-10-01,1.15,fall,high,0.5175
2024-11-01,1.2715,fall,high,0.5722
2024-12-01,1.2206,winter,high,0.5493
